54bFM56PmE4YLRnqpW6Tha,0.218,0.889,0.34,0.13,0.055,0.716,0.0697,0,94.009,-7.773
7igeByaBM0MgGsgXtNxDJ7,0.468,0.736,0.802,0,0.094,0.675,0.0864,1,144.005,-4.759
463CkQjx2Zk1yXoBuierM9,0.00883,0.702,0.825,0,0.0674,0.915,0.0601,0,102.977,-3.787
47EiUVwUp4C9fGccaPuUCS,0.401,0.731,0.573,5.22e-05,0.113,0.145,0.0544,0,109.928,-10.059
3tjFYV6RSFtuktYl3ZtYcq,0.221,0.7,0.722,0,0.272,0.756,0.0369,0,90.989,-3.558
1tkg4EHVoqnhR6iFEXb60y,0.65,0.709,0.548,1.59e-06,0.133,0.543,0.353,1,83.995,-8.493
6zFMeegAMYQo0mt8rXtrli,0.12,0.81,0.511,0,0.0832,0.837,0.164,0,151.947,-6.924
4y4spB9m0Q6026KfkAvy9Q,0.864,0.631,0.239,0,0.116,0.0927,0.0398,0,79.859,-7.071
6AGOKlMZWLCaEJGnaROtF9,0.0563,0.399,0.491,0.00089,0.11,0.151,0.0538,0,91.066,-10.778
02kDW379Yfd5PzW5A6vuGt,0.256,0.799,0.66,0,0.111,0.471,0.079,0,140.04,-6.153
0GzuHFG4Ql6DoyxFRnIk3F,0.105,0.766,0.788,5.81e-06,0.142,0.609,0.312,0,179.984,-3.128
45bE4HXI0AwGZXfZtMp8JR,0.786,0.642,0.374,0,0.0906,0.0799,0.0545,1,124.099,-9.386
6Im9k8u9iIzKMrmV7BWtlF,0.237,0.83,0.585,0,0.248,0.485,0.094,1,109.978,-6.476
59qrUpoplZxbIZxk6X0Bm3,0.0332,0.789,0.711,0,0.0876,0.753,0.041,1,112.985,-4.248
5u1n1kITHCxxp8twBcZxWy,0.196,0.673,0.704,0,0.0898,0.372,0.36,1,86.919,-8.056
0PvFJmanyNQMseIFrU708S,0.114,0.823,0.586,0,0.193,0.347,0.2,0,125.971,-6.606
5psEZhQu6lukjhavJo4AbC,0.232,0.719,0.598,0,0.115,0.303,0.077,1,142.592,-6.254
6HlE9t71z9DjGi7KqSyEpA,0.758,0.711,0.592,0,0.156,0.535,0.23,0,124.749,-7.136
4wosxLl0mAqhneDzya2MfY,0.168,0.732,0.874,1.17e-05,0.0489,0.905,0.0662,1,122.961,-3.158
2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,0.518,3.47e-05,0.107,0.522,0.134,1,133.976,-8.871
1bj8x3ERN9gSc2NfJIpc76,0.36,0.474,0.533,0,0.101,0.165,0.0559,0,131.762,-5.648
5KCbr5ndeby4y4ggthdiAb,0.131,0.333,0.637,1.8e-05,0.149,0.132,0.0581,0,139.898,-4.904
0v1x6rN6JHRapa03JElljE,0.0112,0.746,0.765,0,0.0936,0.737,0.0993,0,114.044,-4.41
27ycaQnQAxaPiyeg3nr2aB,0.00115,0.705,0.814,0.00312,0.203,0.259,0.0346,0,110.0,-5.466
6ft4hAq6yde8jPZY2i5zLr,0.0689,0.632,0.595,0,0.209,0.435,0.0401,0,124.114,-7.644
45S5WTQEGOB1VHr1Q4FuPl,0.21,0.448,0.838,0.000131,0.131,0.254,0.0557,0,139.863,-5.257
70rFIfYN7lU6iTgUIVP42w,0.00391,0.728,0.685,0,0.152,0.33,0.0433,0,124.934,-5.096
0AUvWawuP0ibk4SQ3sIZjk,0.235,0.834,0.663,0,0.372,0.774,0.133,1,121.876,-6.143
6f3Slt0GbA2bPZlz0aIFXN,0.414,0.798,0.62,0.0192,0.112,0.235,0.232,0,120.031,-7.079
5hvwx5i67IwnCkjl9VHkNv,0.154,0.653,0.667,0,0.107,0.556,0.0423,0,104.181,-6.764
7B3z0ySL9Rr0XvZEAjWZzM,0.598,0.744,0.619,0.00372,0.231,0.641,0.039,1,112.997,-9.805
3QCU8BT0zDS9LPVfEhRFEE,0.0442,0.762,0.426,0,0.0858,0.582,0.113,1,167.827,-6.865
0ri0Han4IRJhzvERHOZTMr,0.777,0.813,0.415,0,0.131,0.667,0.0349,1,91.921,-5.926
6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,0.816,0,0.335,0.557,0.0465,1,95.39,-4.209
7aGyRfJWtLqgJaZoG9lJhE,0.424,0.738,0.621,7.39e-06,0.692,0.715,0.0486,1,113.968,-7.313
3H7ihDc1dqLriiWXwsc2po,0.223,0.789,0.72,0,0.129,0.664,0.218,0,122.031,-5.652
11EnQRgRMJwMAesfkB5pnu,0.0907,0.905,0.686,0,0.266,0.963,0.0664,1,103.013,-3.152
4DuUwzP4ALMqpquHU0ltAB,0.11,0.794,0.756,0,0.247,0.775,0.136,0,123.066,-7.16
7ytR5pFWmSjzHJIeQkgog4,0.247,0.746,0.69,0,0.101,0.497,0.164,1,89.977,-7.956
5nWVyZaCwtfAkBnwDuXjBh,0.14,0.784,0.496,0,0.113,0.132,0.0435,1,100.002,-5.746
27u7t9d7ZQoyjsCROHuZJ3,0.369,0.779,0.705,7.91e-06,0.124,0.946,0.0344,1,101.022,-3.895
5dn6QANKbf76pANGjMBida,0.454,0.746,0.611,0.000922,0.133,0.411,0.101,0,149.967,-7.034
1IIKrJVP1C9N7iPtG6eOsK,0.316,0.755,0.578,0,0.25,0.581,0.145,0,94.148,-8.932
5f1joOtoMeyppIcJGZQvqJ,0.0469,0.727,0.626,2.58e-05,0.126,0.322,0.0726,1,86.97,-8.415
6EDO9iiTtwNv6waLwa1UUq,0.057,0.8,0.56,0,0.134,0.45,0.261,0,163.071,-4.818
4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,0.454,0,0.0824,0.357,0.375,1,133.073,-7.509
7y7w4tl4MaRC2UMEj1mPtr,0.0172,0.625,0.814,0,0.158,0.535,0.0657,1,144.991,-5.181
4xqrdfXkTW4T0RauPLv3WA,0.584,0.357,0.425,0,0.322,0.27,0.0333,1,102.078,-7.301
1xQ6trAsedVPCdbtDAmk0c,0.234,0.767,0.481,0,0.269,0.761,0.0803,0,150.076,-8.52
4JUPEh2DVSXFGExu4Uxevz,0.0374,0.785,0.719,0.000108,0.0519,0.887,0.354,1,159.953,-3.886
0k7wmahjkn389wAZdz19Cv,0.0421,0.752,0.658,0,0.0927,0.387,0.342,1,151.951,-6.297
7o4gBbTM6UBLkOYPw9xMCz,0.0614,0.928,0.341,0,0.162,0.745,0.103,0,129.966,-10.196
4DuUwzP4ALMqpquHU0ltAB,0.11,0.794,0.756,0,0.247,0.775,0.136,0,123.066,-7.16
1RSzyxqtIO4yX3EyiV4zT5,0.194,0.714,0.609,0,0.126,0.778,0.17,0,140.206,-7.683
0s8QrhtXW1Av2tuLLerDjN,0.382,0.793,0.571,5.27e-06,0.101,0.616,0.249,1,150.052,-9.247
5SWnsxjhdcEDc7LJjq9UHk,0.00748,0.819,0.626,0.101,0.167,0.415,0.202,0,143.01,-4.574
20m8ZHA6Jevqo1xnhQffQu,0.00494,0.733,0.743,0,0.261,0.623,0.371,1,150.024,-5.045
4YIC82vyZpWPc87MUK472B,0.106,0.853,0.594,0,0.0885,0.351,0.107,1,90.001,-6.682
5n6gBhdEjCuj3obgCoTEFD,0.12,0.94,0.532,0,0.0925,0.599,0.358,0,123.043,-5.998
7hxHWCCAIIxFLCzvDgnQHX,0.25,0.8,0.658,0,0.111,0.462,0.079,0,140.042,-6.142
0PvFJmanyNQMseIFrU708S,0.114,0.823,0.586,0,0.193,0.347,0.2,0,125.971,-6.606
3lIvm65ESTYtJ66VmIyJem,0.0678,0.446,0.616,0,0.097,0.596,0.122,1,83.163,-10.036
7oN7mBg1r39crVwTK5PrWt,0.375,0.68,0.842,0,0.105,0.747,0.449,0,170.014,-6.391
1SF8piqsZWn86DajVKih8F,0.535,0.877,0.607,0,0.138,0.773,0.15,0,127.055,-7.818
1QOxaQ0QruusmKZk5G3sot,0.62,0.681,0.791,1.97e-06,0.106,0.755,0.131,0,147.961,-6.292
4Z5FyQlevoHoa5FsIVKZju,0.0239,0.849,0.536,0,0.126,0.308,0.349,1,141.964,-7.307
6jzW19SQaLj1kLArvipGQZ,0.0679,0.897,0.767,0.000364,0.129,0.675,0.0959,1,134.913,-4.544
4Q34FP1AT7GEl9oLgNtiWj,0.231,0.647,0.667,0,0.133,0.704,0.304,1,172.08,-5.563
6lt8iodSkYWEV0ifKCSlfg,0.216,0.758,0.574,0,0.144,0.706,0.217,0,144.081,-7.833
1VLtjHwRWOVJiE5Py7JxoQ,0.345,0.832,0.534,0,0.165,0.116,0.253,0,93.924,-7.813
25Wq1OwZyKLMjVNXIhzVlV,0.497,0.713,0.605,3.46e-06,0.115,0.432,0.107,1,142.025,-7.487
2rFsFjq0D9JAmc0APpCO6P,0.114,0.761,0.517,0,0.157,0.46,0.0927,1,147.912,-6.916
7IECs9d4Rrlpa7tiHOCE1w,0.187,0.778,0.662,0,0.116,0.571,0.308,0,149.935,-6.081
2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,0.518,3.47e-05,0.107,0.522,0.134,1,133.976,-8.871
4x3mum2YGHtIBrgUKiNt4F,0.0123,0.852,0.674,0,0.126,0.584,0.211,1,130.085,-4.166
5iZ5wjTTxSIv8Cfrhj6Jla,0.125,0.755,0.81,0,0.382,0.297,0.235,0,101.93,-4.061
5nWVyZaCwtfAkBnwDuXjBh,0.14,0.784,0.496,0,0.113,0.132,0.0435,1,100.002,-5.746
6FaYbjgD31OYcsqtMWFEz7,0.00213,0.949,0.617,0,0.178,0.32,0.185,1,99.029,-4.961
0bMyxvtbPa7HFemLjzw0xX,0.00998,0.917,0.529,0,0.0884,0.289,0.101,0,122.0,-3.785
3bAzFi7wGuOXJdgOYyFDSW,0.153,0.848,0.457,0,0.115,0.227,0.293,1,100.018,-10.118
170DNUSnQRp1tGpppF26pA,0.128,0.616,0.617,0,0.177,0.476,0.52,1,175.929,-8.431
33gwZOGJWEZ7dRWPqPxBEZ,0.0978,0.724,0.675,9.41e-06,0.351,0.325,0.0867,1,160.048,-5.267
5kTn07V96U8LyoQgz6DZzX,0.235,0.514,0.634,0,0.13,0.308,0.383,1,76.181,-6.514
3MEruRteiUZXkStfTlZqRn,0.168,0.865,0.792,1.46e-05,0.107,0.562,0.0677,1,101.985,-4.207
1plyOk5XeAODoIcAgPhbtc,0.111,0.729,0.503,0,0.123,0.152,0.081,1,134.927,-8.229
6pcywuOeGGWeOQzdUyti6k,0.00574,0.847,0.733,1.04e-05,0.151,0.202,0.16,0,130.029,-6.439
4jVBIpuOiMj1crqd8LoCrJ,0.00671,0.835,0.699,0,0.195,0.547,0.277,0,154.981,-5.405
2MBjMrecld1TgdzCSVouEW,0.022,0.452,0.748,0,0.0422,0.586,0.302,0,173.722,-7.858
3v84EI4rMdsqJ95MxwIjQa,0.0104,0.735,0.662,0,0.153,0.124,0.05,1,87.999,-7.862
6zAXl7WqhGuOuTDkPDKQ7P,0.116,0.757,0.633,0,0.204,0.396,0.339,1,143.186,-6.102
7hUraNVQaAxbX6RbaGNPSB,0.133,0.806,0.718,0,0.398,0.581,0.0879,0,98.523,-4.212
5W3z7a1dBlERTBAye0murh,0.181,0.955,0.587,0,0.585,0.901,0.32,0,111.975,-5.894
3CVunG1WrBHN0dEV1HjyFE,0.0227,0.866,0.701,0,0.0947,0.591,0.124,0,120.031,-7.737
6w4PV16oMh5I6ZOCvig0hK,0.0909,0.813,0.57,0,0.0982,0.676,0.265,0,109.07,-8.409
4wmZtoif8SGm7PDqgKrEXr,0.0547,0.813,0.557,0,0.128,0.764,0.133,0,83.012,-6.655
31iqpzg1ZXLLgq0L5iIwLe,0.0135,0.9,0.521,0,0.0951,0.213,0.147,0,132.007,-7.286
5woaU1FNkqCwg6WzWiQPW5,0.00647,0.948,0.63,2.02e-05,0.0737,0.425,0.219,1,100.032,-7.011
4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,0.454,0,0.0824,0.357,0.375,1,133.073,-7.509
3CwcGdFwFF3DfHGGppdI4X,0.0613,0.79,0.61,0,0.243,0.62,0.102,0,145.88,-6.958
3yv7994DWTEk3ihwy75YBQ,0.00184,0.933,0.757,0,0.135,0.544,0.117,1,137.993,-3.212
0wGv595Z2XDF9ZFbrbQqqH,0.00129,0.648,0.864,0.0296,0.0368,0.354,0.0335,1,122.014,-4.136
11ajcVj3qSyyMPUpTJUP3y,9.2e-05,0.432,0.886,4.74e-05,0.338,0.248,0.0341,1,76.04,-3.991
3aniWcwiiYKHpm3F5TdeKD,0.000323,0.497,0.916,0,0.36,0.401,0.108,1,96.051,-3.323
6mfrK1kvsOjiiH64Ier962,0.000108,0.112,0.978,0.0241,0.117,0.371,0.117,1,173.097,-2.64
4CEqDmkqD7illXHuym76V6,0.00012,0.475,0.844,0.111,0.221,0.554,0.0622,0,156.136,-4.448
5eR6OS3joTAHJToyzehKfu,0.0629,0.767,0.694,0,0.32,0.78,0.0384,0,112.012,-5.059
2tono51k7WmcMuMmUkff0q,0.248,0.455,0.663,5.06e-06,0.158,0.236,0.0326,1,153.932,-5.233
6nipZlJiUvI0I7lCf1Z7Li,0.00324,0.548,0.971,0.000388,0.065,0.373,0.16,1,135.028,-3.915
6ZtrGCcn38kGImt2GPFbJB,2.07e-05,0.599,0.787,5.27e-05,0.064,0.822,0.0338,1,114.065,-4.708
1fjygBqOg8E1t6RnYu5GIC,0.0117,0.515,0.859,0.0227,0.127,0.605,0.303,0,150.067,-6.103
